Figure_No,Type,File
Fig1,Graphical abstract,see generated PNG files
Fig2,Method flowchart,see generated PNG files
Fig3,Analytical strategy,see generated PNG files
Fig4,Instrument validation,see generated PNG files
Fig5,Data collection timeline,see generated PNG files
Fig6,Descriptive statistics,see generated PNG files
Fig7,Correlation matrix,see generated PNG files
Fig8,ALV vs ODP scatter,see generated PNG files
Fig9,AI Agency vs ODP scatter,see generated PNG files
Fig10,Interaction plot,see generated PNG files
Fig11,Simple slopes,see generated PNG files
